var_name,offset,pre-run-data,post-run-data
A,0,5,5
A,1,0,0
A,2,0,0
A,3,0,0
A,4,7,7
A,5,0,0
A,6,0,0
A,7,0,0
A,8,9,9
A,9,0,0
A,10,0,0
A,11,0,0
A,12,11,11
A,13,0,0
A,14,0,0
A,15,0,0
A,16,13,13
A,17,0,0
A,18,0,0
A,19,0,0
A,20,15,15
A,21,0,0
A,22,0,0
A,23,0,0
A,24,17,17
A,25,0,0
A,26,0,0
A,27,0,0
A,28,19,19
A,29,0,0
A,30,0,0
A,31,0,0
A,32,21,21
A,33,0,0
A,34,0,0
A,35,0,0
A,36,23,23
A,37,0,0
A,38,0,0
A,39,0,0
A,40,25,25
A,41,0,0
A,42,0,0
A,43,0,0
A,44,27,27
A,45,0,0
A,46,0,0
A,47,0,0
A,48,29,29
A,49,0,0
A,50,0,0
A,51,0,0
A,52,31,31
A,53,0,0
A,54,0,0
A,55,0,0
A,56,33,33
A,57,0,0
A,58,0,0
A,59,0,0
A,60,35,35
A,61,0,0
A,62,0,0
A,63,0,0
A,64,37,37
A,65,0,0
A,66,0,0
A,67,0,0
A,68,39,39
A,69,0,0
A,70,0,0
A,71,0,0
A,72,41,41
A,73,0,0
A,74,0,0
A,75,0,0
A,76,43,43
A,77,0,0
A,78,0,0
A,79,0,0
B,0,0,0
B,1,0,0
B,2,0,0
B,3,0,0
B,4,3,3
B,5,0,0
B,6,0,0
B,7,0,0
B,8,6,6
B,9,0,0
B,10,0,0
B,11,0,0
B,12,9,9
B,13,0,0
B,14,0,0
B,15,0,0
B,16,12,12
B,17,0,0
B,18,0,0
B,19,0,0
B,20,15,15
B,21,0,0
B,22,0,0
B,23,0,0
B,24,18,18
B,25,0,0
B,26,0,0
B,27,0,0
B,28,21,21
B,29,0,0
B,30,0,0
B,31,0,0
B,32,24,24
B,33,0,0
B,34,0,0
B,35,0,0
B,36,27,27
B,37,0,0
B,38,0,0
B,39,0,0
B,40,30,30
B,41,0,0
B,42,0,0
B,43,0,0
B,44,33,33
B,45,0,0
B,46,0,0
B,47,0,0
B,48,36,36
B,49,0,0
B,50,0,0
B,51,0,0
B,52,39,39
B,53,0,0
B,54,0,0
B,55,0,0
B,56,42,42
B,57,0,0
B,58,0,0
B,59,0,0
B,60,45,45
B,61,0,0
B,62,0,0
B,63,0,0
B,64,48,48
B,65,0,0
B,66,0,0
B,67,0,0
B,68,51,51
B,69,0,0
B,70,0,0
B,71,0,0
B,72,54,54
B,73,0,0
B,74,0,0
B,75,0,0
B,76,57,57
B,77,0,0
B,78,0,0
B,79,0,0
C,0,0,5
C,1,0,0
C,2,0,0
C,3,0,0
C,4,0,10
C,5,0,0
C,6,0,0
C,7,0,0
C,8,0,15
C,9,0,0
C,10,0,0
C,11,0,0
C,12,0,20
C,13,0,0
C,14,0,0
C,15,0,0
C,16,0,25
C,17,0,0
C,18,0,0
C,19,0,0
C,20,0,30
C,21,0,0
C,22,0,0
C,23,0,0
C,24,0,35
C,25,0,0
C,26,0,0
C,27,0,0
C,28,0,40
C,29,0,0
C,30,0,0
C,31,0,0
C,32,0,45
C,33,0,0
C,34,0,0
C,35,0,0
C,36,0,50
C,37,0,0
C,38,0,0
C,39,0,0
C,40,0,55
C,41,0,0
C,42,0,0
C,43,0,0
C,44,0,60
C,45,0,0
C,46,0,0
C,47,0,0
C,48,0,65
C,49,0,0
C,50,0,0
C,51,0,0
C,52,0,70
C,53,0,0
C,54,0,0
C,55,0,0
C,56,0,75
C,57,0,0
C,58,0,0
C,59,0,0
C,60,0,80
C,61,0,0
C,62,0,0
C,63,0,0
C,64,0,85
C,65,0,0
C,66,0,0
C,67,0,0
C,68,0,90
C,69,0,0
C,70,0,0
C,71,0,0
C,72,0,95
C,73,0,0
C,74,0,0
C,75,0,0
C,76,0,100
C,77,0,0
C,78,0,0
C,79,0,0
loopend,0,0,1
loopstart,0,1,0
